data,kapital,chast1,chast2,protsent,izderzhki,nominal_chast2,nominal_chast1,zalog,rynkov_v_pozicii
1997-09-09,9999141.36,4999885.25,4999256.11,0.0,858.64,27625429.01,4950187.5,1731510.84,22
1997-09-10,9969745.1,4996599.41,4973145.69,1394.32,0.0,27598621.47,4946204.4,1731510.84,22
1997-09-11,9948149.77,4990119.9,4958029.86,1379.15,0.0,27582817.7,4939033.8,1731510.84,22
1997-09-12,9977547.59,5017904.22,4959643.36,1381.69,0.0,27583742.58,4966125.0,1731510.84,22
1997-09-15,10021985.07,5021578.72,5000406.35,4132.37,398.6,27564887.89,4967721.3,1731510.84,22
1997-09-16,10139129.29,5071679.91,5067449.38,1391.94,0.0,27631236.43,5017125.0,1731510.84,22
1997-09-17,10174522.07,5076361.88,5098160.19,1396.95,0.0,27661249.05,5021108.1,1731510.84,22
1997-09-18,10192672.82,5074675.75,5117997.07,1404.65,0.0,27680382.1,5018721.3,1731510.84,22
1997-09-19,10203294.02,5077763.29,5125530.73,1407.16,70.42,27696108.91,5021108.1,1731510.84,22
1997-09-22,10259342.76,5090212.45,5169130.3,4191.85,0.0,27737602.74,5031471.3,1731510.84,22
1997-09-23,10229064.6,5080543.65,5148520.95,1399.26,0.0,27716288.37,5021108.1,1731510.84,22
1997-09-24,10251398.56,5093983.76,5157414.8,1389.45,0.0,27724482.88,5033858.1,1731510.84,22
1997-09-25,10229616.11,5070760.62,5158855.49,1369.7,94.5,27717453.99,5009954.4,1731510.84,22
1997-09-26,10267111.3,5084186.72,5182924.58,1363.95,22.5,27742807.74,5022704.4,1731510.84,22
1997-09-29,10278606.96,5083853.87,5194753.09,4158.18,37.24,27753183.35,5020312.5,1731510.84,22
1997-09-30,10265672.72,5132986.72,5132686.01,1390.47,588.23,33645721.3,5112250.0,2266245.52,24
1997-10-01,10335470.9,5157250.95,5178219.95,1405.83,0.0,33690552.34,5135811.2,2266245.52,24
1997-10-02,10359213.89,5165279.19,5193934.7,1426.87,0.0,33705552.22,5143127.6,2266245.52,24
1997-10-03,10406261.13,5167610.43,5238650.7,1421.51,0.0,33749554.89,5144750.0,2266245.52,24
1997-10-06,10420547.95,5184348.08,5236199.87,4249.22,117.0,33746901.93,5159377.6,2266245.52,24
1997-10-07,10412409.45,5192360.71,5220048.74,1409.67,0.0,33730042.76,5166688.8,2266245.52,24
1997-10-08,10315300.48,5152444.23,5162856.25,1425.92,0.0,33672135.13,5126061.2,2266245.52,24
1997-10-09,10222737.53,5148281.67,5074455.86,1421.22,0.0,33583023.7,5121188.8,2266245.52,24
1997-10-10,10188986.33,5130307.86,5058678.47,1419.82,0.0,33566541.23,5102500.0,2266245.52,24
1997-10-13,10203077.89,5132445.49,5070632.4,4245.41,0.0,33576387.38,5102500.0,2266245.52,24
1997-10-14,10213878.82,5155097.18,5058781.64,1417.09,0.0,33563832.37,5124438.8,2266245.52,24
1997-10-15,10207974.32,5146867.15,5061107.17,1404.41,0.0,33565462.31,5115500.0,2266245.52,24
1997-10-16,10224854.67,5147571.99,5077282.68,1397.93,0.0,33580945.02,5115500.0,2266245.52,24
1997-10-17,10174848.25,5127967.2,5046881.05,1403.08,33.36,33550991.83,5095188.8,2266245.52,24
1997-10-20,10154028.08,5134130.82,5019897.27,4171.69,0.0,33521939.11,5099250.0,2266245.52,24
1997-10-21,10145330.74,5134831.05,5010499.68,1384.9,0.0,33511856.27,5099250.0,2266245.52,24
1997-10-22,10135163.73,5140413.21,4994750.52,1392.16,0.0,33495419.85,5104127.6,2266245.52,24
1997-10-23,10112925.53,5168752.47,4944173.06,1413.29,0.0,33444145.9,5131750.0,2266245.52,24
1997-10-24,10103079.49,5176780.22,4926299.27,1401.76,0.0,33425587.11,5139061.2,2266245.52,24
1997-10-27,10015826.93,5209007.77,4806819.16,4218.04,0.0,33304049.96,5169127.6,2266245.52,24
1997-10-28,9910577.1,5186975.45,4723601.64,1379.96,0.0,33220170.48,5146377.6,2266245.52,24
1997-10-29,10069182.78,5208023.02,4861159.76,1406.75,18.0,33357836.1,5166688.8,2266245.52,24
1997-10-30,10053846.86,5227442.29,4826404.57,1412.48,125.28,33326100.83,5185377.6,2266245.52,24
1997-10-31,10084433.52,5042376.16,5042057.37,1404.75,327.79,31705158.31,4988280.0,1998774.56,25
1997-11-03,10039231.04,5024976.46,5014254.58,4260.67,0.0,31675225.25,4968750.0,1998774.56,25
1997-11-04,9990972.91,5014754.68,4976218.23,1425.01,0.0,31636477.44,4957815.0,1998774.56,25
1997-11-05,9994816.22,5017026.54,4977789.68,1418.16,0.0,31637342.27,4959375.0,1998774.56,25
1997-11-06,10013514.17,5032586.52,4980927.65,1424.26,0.0,31639770.91,4974220.0,1998774.56,25
1997-11-07,10010913.09,5030964.21,4979948.88,1438.05,0.0,31638077.09,4971875.0,1998774.56,25
1997-11-10,9997895.33,5031571.66,4966323.66,4313.04,0.0,31622306.07,4970315.0,1998774.56,25
1997-11-11,10009357.4,5032299.84,4977057.55,1446.92,0.0,31632321.22,4970315.0,1998774.56,25
1997-11-12,10014656.35,5036933.23,4977723.12,1448.58,59.5,31634026.01,4974220.0,1998774.56,25
1997-11-13,10025962.82,5042340.24,4983622.58,1435.43,0.0,31639211.98,4978905.0,1998774.56,25
1997-11-14,10036218.9,5045403.67,4990815.22,1428.7,0.0,31645694.18,4981250.0,1998774.56,25
1997-11-17,10043887.65,5052250.53,4991637.12,4290.48,94.5,31651617.28,4985940.0,1998774.56,25
1997-11-18,10021680.6,5052977.5,4968703.11,1445.2,0.0,31627965.31,4985940.0,1998774.56,25
1997-11-19,10047487.52,5063078.16,4984409.36,1439.22,0.0,31642957.73,4995315.0,1998774.56,25
1997-11-20,10011399.71,5056766.2,4954633.51,1434.56,85.5,31638680.42,4988280.0,1998774.56,25
1997-11-21,10062222.65,5066083.1,4996139.55,1429.41,30.58,31680401.38,4996875.0,1998774.56,25
1997-11-24,10004642.81,5055740.41,4948902.4,4284.83,0.0,31631037.26,4984375.0,1998774.56,25
1997-11-25,9973104.84,5058030.01,4915074.83,1434.0,13.5,31599663.29,4985940.0,1998774.56,25
1997-11-26,9971036.6,5055630.0,4915406.6,1429.48,47.6,31620466.47,4982815.0,1998774.56,25
1997-11-27,9955605.63,5056349.02,4899256.61,1418.1,24.5,31610161.92,4982815.0,1998774.56,25
1997-11-28,9948698.67,4974476.57,4974222.1,1415.91,1062.97,33233454.33,4971875.0,1801195.59,23
1997-12-01,9984768.99,4978927.53,5005841.46,4211.62,128.7,33267540.64,4974220.0,1801195.59,23
1997-12-02,10000759.11,4979632.88,5021126.23,1414.51,0.0,33282116.23,4974220.0,1801195.59,23
1997-12-03,10003923.75,4986591.1,5017332.65,1422.33,0.0,33277608.55,4980470.0,1801195.59,23
1997-12-04,10001783.75,4987300.3,5014483.45,1422.78,0.0,33274045.77,4980470.0,1801195.59,23
1997-12-05,9971252.65,4968481.09,5002771.56,1425.25,0.0,33261619.33,4960940.0,1801195.59,23
1997-12-08,9919545.12,4954992.54,4964552.59,4287.64,121.5,33232980.66,4945315.0,1801195.59,23
1997-12-09,9944549.18,4959613.16,4984936.02,1432.82,0.0,33252646.99,4949220.0,1801195.59,23
1997-12-10,10003445.08,4975944.9,5027500.18,1417.1,0.0,33294500.8,4964845.0,1801195.59,23
1997-12-11,10029596.7,4999300.58,5030296.12,1408.82,0.0,33296588.67,4987500.0,1801195.59,23
1997-12-12,10052684.31,5021878.26,5030806.05,1409.72,0.0,33296391.58,5009375.0,1801195.59,23
1997-12-15,10027687.19,5013056.83,5014630.35,4230.5,284.04,33267606.46,4998440.0,1801195.59,23
1997-12-16,10027147.76,5015326.82,5011820.94,1420.59,0.0,33264086.66,5000000.0,1801195.59,23
1997-12-17,10012731.82,5009006.03,5003725.79,1417.73,0.0,33255282.88,4992970.0,1801195.59,23
1997-12-18,10046130.43,5020652.03,5025478.4,1421.25,0.0,33276325.25,5003905.0,1801195.59,23
1997-12-19,10066857.69,5036988.29,5029869.4,1423.2,55.08,33285817.49,5019530.0,1801195.59,23
1997-12-22,10037757.34,5037606.79,5000150.56,4353.92,0.0,33253923.23,5017970.0,1801195.59,23
1997-12-23,10074321.59,5036783.43,5037538.15,1477.78,0.0,33290574.72,5016405.0,1801195.59,23
1997-12-24,10098766.86,5033621.26,5065145.6,1485.96,0.0,33317439.1,5012500.0,1801195.59,23
1997-12-25,10100236.79,5034353.93,5065882.86,1469.93,0.0,33317439.1,5012500.0,1801195.59,23
1997-12-26,10131544.27,5035086.71,5096457.56,1470.15,0.0,33347276.44,5012500.0,1801195.59,23
1997-12-29,10133337.11,5031802.88,5101534.23,4398.78,22.5,33349712.91,5007030.0,1801195.59,23
1997-12-30,10074351.78,5018478.08,5055873.7,1480.59,0.0,33303306.97,4992970.0,1801195.59,23
1997-12-31,10087945.41,5044146.11,5043799.3,1483.17,486.31,35902930.1,5007030.0,1841717.86,20
1998-01-02,10170406.71,5071394.01,5099012.7,2925.5,0.0,35956680.83,5032815.0,1841717.86,20
1998-01-05,10336670.3,5117333.16,5219337.14,4390.23,42.0,36073046.19,5076565.0,1841717.86,20
1998-01-06,10356023.65,5121961.6,5234062.05,1461.49,0.0,36087033.12,5080470.0,1841717.86,20
1998-01-07,10308694.63,5110184.36,5198510.26,1461.35,0.0,36050742.75,5067970.0,1841717.86,20
1998-01-08,10350362.47,5130436.79,5219925.68,1457.53,0.0,36071423.18,5087500.0,1841717.86,20
1998-01-09,10394973.5,5157714.55,5237258.95,1437.55,0.0,36088031.46,5114065.0,1841717.86,20
1998-01-12,10369385.37,5159829.21,5209556.16,4261.94,0.0,36058181.4,5114065.0,1841717.86,20
1998-01-13,10379145.81,5151937.85,5227207.96,1414.27,0.0,36075122.65,5105470.0,1841717.86,20
1998-01-14,10355381.75,5140157.7,5215224.06,1450.2,0.0,36062408.41,5092970.0,1841717.86,20
1998-01-15,10361867.08,5138532.22,5223334.86,1449.75,0.0,36069789.06,5090625.0,1841717.86,20
1998-01-16,10317629.23,5120495.9,5197133.33,1439.15,33.36,36044007.22,5071875.0,1841717.86,20
1998-01-19,10325173.42,5122637.98,5202535.45,4316.21,0.0,36047235.21,5071875.0,1841717.86,20
1998-01-20,10329554.27,5117102.3,5212451.97,1439.79,0.0,36056426.26,5065625.0,1841717.86,20
1998-01-21,10361457.53,5124065.85,5237391.68,1440.4,0.0,36080639.12,5071875.0,1841717.86,20
1998-01-22,10358995.38,5124777.53,5234217.85,1439.09,0.0,36076737.87,5071875.0,1841717.86,20
1998-01-23,10255771.31,5084084.4,5171686.91,1438.75,0.0,36013479.94,5030470.0,1841717.86,20
1998-01-26,10321667.26,5105749.62,5215917.64,4307.42,0.0,36055538.58,5050000.0,1841717.86,20
1998-01-27,10273630.36,5088490.27,5185140.09,1436.43,0.0,36024035.16,5032030.0,1841717.86,20
1998-01-28,10285964.35,5089211.14,5196753.22,1455.43,0.0,36034913.72,5032030.0,1841717.86,20
1998-01-29,10367939.39,5123525.59,5244413.79,1454.32,0.0,36081839.52,5065625.0,1841717.86,20
1998-01-30,10410627.57,5205478.26,5205149.3,1457.27,333.46,52774093.39,5178096.3,1833233.21,19
1998-02-02,10384320.82,5194923.24,5189397.58,4389.81,0.0,52756146.85,5165346.3,1833233.21,19
1998-02-03,10408732.33,5198045.89,5210686.44,1471.11,0.0,52776700.55,5167733.1,1833233.21,19
1998-02-04,10437874.58,5198785.16,5239089.42,1480.35,0.0,52804362.44,5167733.1,1833233.21,19
1998-02-05,10404759.94,5184367.63,5220392.31,1443.91,0.0,52784940.59,5152596.3,1833233.21,19
1998-02-06,10395970.16,5183492.62,5212477.54,1448.0,0.0,52776299.33,5151000.0,1833233.21,19
1998-02-09,10367400.92,5175311.69,5192089.23,4366.31,0.0,52753721.78,5140641.9,1833233.21,19
1998-02-10,10404074.22,5182406.92,5221667.31,1442.8,0.0,52782577.29,5147016.9,1833233.21,19
1998-02-11,10462045.51,5199869.77,5262175.74,1465.24,0.0,52822350.33,5163750.0,1833233.21,19
1998-02-12,10456641.45,5196620.53,5260020.92,1476.31,0.0,52819452.97,5159766.9,1833233.21,19
1998-02-13,10531272.65,5206916.33,5324356.32,1475.55,0.0,52883046.11,5169329.4,1833233.21,19
1998-02-16,10536837.48,5209124.93,5327712.55,4467.01,0.0,52884143.92,5169329.4,1833233.21,19
1998-02-17,10553881.32,5222611.45,5331269.87,1489.79,117.0,52897984.98,5182079.4,1833233.21,19
1998-02-18,10524929.99,5213780.11,5311149.88,1477.54,0.0,52877118.6,5172516.9,1833233.21,19
1998-02-19,10518132.75,5209729.14,5308403.61,1479.34,0.0,52873625.82,5167733.1,1833233.21,19
1998-02-20,10476533.99,5203292.14,5273241.86,1481.3,33.36,52838931.09,5160562.5,1833233.21,19
1998-02-23,10421753.53,5191949.37,5229804.17,4435.07,0.0,52793261.04,5147016.9,1833233.21,19
1998-02-24,10300965.12,5162403.98,5138561.15,1482.2,0.0,52701274.22,5116733.1,1833233.21,19
1998-02-25,10341925.86,5177485.92,5164439.94,1467.89,68.0,52715565.3,5131079.4,1833233.21,19
1998-02-26,10359299.46,5171058.97,5188240.5,1485.22,35.0,52526859.89,5123908.8,1833233.21,19
1998-02-27,10362645.69,5181445.96,5181199.73,1496.34,1318.93,39726911.63,5127891.9,1674118.74,17
1998-03-02,10313689.92,5159773.82,5153916.1,4473.21,56.0,39693447.88,5103983.1,1674118.74,17
1998-03-03,10212087.01,5144578.75,5067508.26,1484.03,0.0,39606298.45,5088045.6,1674118.74,17
1998-03-04,10230035.32,5148493.64,5081541.68,1443.88,0.0,39619615.39,5091233.1,1674118.74,17
1998-03-05,10227167.64,5145232.66,5081934.98,1435.05,0.0,39619295.86,5087250.0,1674118.74,17
1998-03-06,10264452.84,5158702.99,5105749.85,1431.8,0.0,39642399.25,5100000.0,1674118.74,17
1998-03-09,10339008.07,5174406.75,5164601.32,4293.96,0.0,39699114.82,5113545.6,1674118.74,17
1998-03-10,10399540.12,5176726.03,5222814.09,1444.59,0.0,39756605.56,5115141.9,1674118.74,17
1998-03-11,10451116.57,5189393.77,5261722.8,1432.83,0.0,39794795.11,5127096.3,1674118.74,17
1998-03-12,10534647.5,5208432.95,5326214.55,1439.93,0.0,39858561.5,5145420.6,1674118.74,17
1998-03-13,10552760.73,5204370.41,5348390.32,1448.51,0.0,39880005.32,5140641.9,1674118.74,17
1998-03-16,10611504.02,5218476.05,5393027.97,4361.81,325.6,39897443.7,5152596.3,1674118.74,17
1998-03-17,10599822.29,5213616.99,5386205.3,1464.98,0.0,39889876.47,5147016.9,1674118.74,17
1998-03-18,10609792.02,5207967.55,5401824.47,1475.14,0.0,39904746.07,5140641.9,1674118.74,17
1998-03-19,10624791.5,5206303.22,5418488.28,1482.42,0.0,39920655.1,5138250.0,1674118.74,17
1998-03-20,10661508.16,5211015.3,5450492.86,1487.47,57.86,39960035.34,5142233.1,1674118.74,17
1998-03-23,10694576.13,5214804.57,5479771.56,4486.72,0.0,39987019.89,5143829.4,1674118.74,17
1998-03-24,10701883.31,5215531.75,5486351.56,1491.3,0.0,39992836.18,5143829.4,1674118.74,17
1998-03-25,10638397.09,5197930.97,5440466.12,1495.29,0.0,39946184.18,5125500.0,1674118.74,17
1998-03-26,10624879.91,5188300.68,5436579.22,1489.38,0.0,39941535.2,5115141.9,1674118.74,17
1998-03-27,10580513.64,5185049.81,5395463.83,1499.29,0.0,39899653.04,5111158.8,1674118.74,17
1998-03-30,10567719.29,5176881.51,5390837.78,4479.08,0.0,39892742.92,5100795.6,1674118.74,17
1998-03-31,10657241.5,5328773.68,5328467.82,1494.16,353.02,50814089.44,5317389.3,1909480.6,21
1998-04-01,10696787.56,5342766.75,5354020.81,1486.09,0.0,50838899.4,5330639.3,1909480.6,21
1998-04-02,10746083.94,5358416.21,5387667.72,1482.69,0.0,50871804.2,5345548.2,1909480.6,21
1998-04-03,10853039.64,5389795.17,5463244.48,1483.56,0.0,50946637.16,5376187.5,1909480.6,21
1998-04-06,10835247.43,5378768.46,5456478.97,4476.88,0.0,50937618.41,5362937.5,1909480.6,21
1998-04-07,10848381.57,5373712.93,5474668.63,1495.87,0.0,50955054.44,5357139.3,1909480.6,21
1998-04-08,10809113.51,5361200.33,5447913.18,1488.64,0.0,50927547.73,5343889.3,1909480.6,21
1998-04-09,10821373.98,5361934.51,5459439.47,1480.25,0.0,50938327.95,5343889.3,1909480.6,21
1998-04-10,10822858.91,5362670.29,5460188.62,1484.93,0.0,50938327.95,5343889.3,1909480.6,21
1998-04-13,10750562.54,5342522.63,5408039.91,4455.41,0.0,50883931.46,5321533.9,1909480.6,21
1998-04-14,10770470.54,5352377.36,5418093.19,1508.07,0.0,50893226.12,5330639.3,1909480.6,21
1998-04-15,10781128.05,5360580.92,5420547.13,1501.88,0.0,50894924.54,5338096.4,1909480.6,21
1998-04-16,10779888.09,5364630.5,5415257.59,1482.41,0.0,50888889.67,5341408.9,1909480.6,21
1998-04-17,10784988.86,5366188.87,5418799.98,1470.26,133.02,50893727.3,5342235.7,1909480.6,21
1998-04-20,10793275.03,5356792.61,5436482.42,4421.85,0.0,50909188.0,5330639.3,1909480.6,21
1998-04-21,10796108.94,5344273.22,5451835.72,1472.08,0.0,50923800.21,5317389.3,1909480.6,21
1998-04-22,10776680.92,5345006.57,5431674.35,1481.47,0.0,50902890.72,5317389.3,1909480.6,21
1998-04-23,10769738.65,5342430.49,5427308.16,1484.79,0.0,50897776.15,5314076.8,1909480.6,21
1998-04-24,10751668.12,5349791.56,5401876.56,1483.83,0.0,50871596.45,5320701.8,1909480.6,21
1998-04-27,10630943.36,5310594.75,5320348.61,4435.06,0.0,50787840.58,5279298.2,1909480.6,21
1998-04-28,10606765.61,5309664.58,5297101.02,1458.8,36.0,50765418.92,5277639.3,1909480.6,21
1998-04-29,10606944.84,5308738.11,5298206.72,1452.54,0.0,50765799.21,5275985.7,1909480.6,21
1998-04-30,10707259.71,5353713.18,5353546.52,1455.51,554.66,52923168.74,5314076.8,1822029.58,20
1998-05-01,10739259.13,5357749.92,5381509.21,1448.45,45.5,52942002.71,5317389.3,1822029.58,20
1998-05-04,10754728.02,5359933.2,5394794.82,4376.25,0.0,52953094.99,5317389.3,1822029.58,20
1998-05-05,10720431.17,5353212.33,5367218.84,1466.83,0.0,52924783.56,5309937.5,1822029.58,20
1998-05-06,10760104.78,5365549.47,5394555.31,1482.99,0.0,52951377.59,5321533.9,1822029.58,20
1998-05-07,10757156.87,5366291.71,5390865.17,1488.48,0.0,52946940.83,5321533.9,1822029.58,20
1998-05-08,10720876.12,5357096.54,5363779.57,1488.07,0.0,52919109.85,5311596.4,1822029.58,20
1998-05-11,10677341.35,5338621.46,5338719.88,4467.03,0.0,52891814.88,5290889.3,1822029.58,20
1998-05-12,10748695.25,5364209.34,5384485.92,1482.96,0.0,52936839.42,5315735.7,1822029.58,20
1998-05-13,10795766.18,5368265.38,5427500.8,1489.89,0.0,52979108.36,5319048.2,1822029.58,20
1998-05-14,10764914.03,5358245.28,5406668.75,1496.41,112.0,52966274.97,5308283.9,1822029.58,20
1998-05-15,10761935.98,5358995.44,5402940.54,1507.09,25.02,52959678.16,5308283.9,1822029.58,20
1998-05-18,10727447.99,5374496.22,5352951.77,4520.01,0.0,52907420.16,5321533.9,1822029.58,20
1998-05-19,10718014.79,5372764.33,5345250.45,1504.82,0.0,52898967.94,5319048.2,1822029.58,20
1998-05-20,10738668.14,5385115.08,5353553.06,1515.41,0.0,52906514.79,5330639.3,1822029.58,20
1998-05-21,10695649.33,5370969.89,5324679.45,1512.36,0.0,52876887.19,5315735.7,1822029.58,20
1998-05-22,10718677.35,5377529.08,5341148.27,1515.22,0.0,52892602.07,5321533.9,1822029.58,20
1998-05-25,10728441.91,5379805.57,5348636.34,4537.57,0.0,52897829.05,5321533.9,1822029.58,20
1998-05-26,10742597.81,5393814.72,5348783.1,1513.9,0.0,52897220.7,5334783.9,1822029.58,20
1998-05-27,10719315.24,5405328.05,5313987.18,1492.03,71.4,52851491.35,5345548.2,1822029.58,20
1998-05-28,10672825.15,5402760.29,5270064.86,1476.88,0.0,52806836.88,5342235.7,1822029.58,20
1998-05-29,10721205.79,5360725.16,5360480.63,1461.58,1068.03,54730502.14,5353000.0,1455294.62,18
1998-06-01,10731110.04,5372020.46,5359089.58,4368.89,0.0,54726926.27,5362110.7,1455294.62,18
1998-06-02,10694863.24,5366119.19,5328744.04,1445.72,0.0,54695858.75,5355485.7,1455294.62,18
1998-06-03,10695424.38,5364371.23,5331053.15,1470.54,0.0,54697435.6,5353000.0,1455294.62,18
1998-06-04,10667559.31,5357664.59,5309894.73,1485.48,0.0,54675536.28,5345548.2,1455294.62,18
1998-06-05,10654456.7,5362544.92,5291911.77,1475.68,0.0,54656818.44,5349687.5,1455294.62,18
1998-06-08,10696284.76,5364770.38,5331514.38,4421.6,0.0,54694225.72,5349687.5,1455294.62,18
1998-06-09,10646986.16,5364688.79,5282297.37,1485.6,0.0,54644267.4,5348860.7,1455294.62,18
1998-06-10,10646468.48,5384486.45,5261982.03,1487.62,0.0,54623214.77,5367908.9,1455294.62,18
1998-06-11,10731562.06,5410076.89,5321485.16,1481.63,0.0,54681985.26,5392750.0,1455294.62,18
1998-06-12,10731560.95,5416622.09,5314938.85,1481.55,0.0,54674704.29,5398548.2,1455294.62,18
1998-06-15,10725342.93,5426326.2,5299016.73,4462.54,271.02,54646686.04,5406000.0,1455294.62,18
1998-06-16,10651790.74,5404716.03,5247074.71,1483.67,0.0,54594010.57,5383639.3,1455294.62,18
1998-06-17,10619164.35,5378975.7,5240188.65,1497.17,126.0,54598553.8,5357139.3,1455294.62,18
1998-06-18,10668935.77,5390505.93,5278429.84,1501.43,0.0,54636053.73,5367908.9,1455294.62,18
1998-06-19,10658410.88,5399540.7,5258870.19,1496.61,52.3,54623435.34,5376187.5,1455294.62,18
1998-06-22,10677674.07,5405116.51,5272557.56,4467.65,0.0,54634918.38,5379500.0,1455294.62,18
1998-06-23,10727946.2,5411664.02,5316282.18,1480.04,0.0,54677911.75,5385298.2,1455294.62,18
1998-06-24,10749643.62,5408271.72,5341371.89,1481.05,99.0,54662767.34,5381158.9,1455294.62,18
1998-06-25,10750103.14,5407350.45,5342752.68,1466.13,0.0,54663419.63,5379500.0,1455294.62,18
1998-06-26,10780472.75,5411397.45,5369075.3,1460.22,0.0,54689016.11,5382812.5,1455294.62,18
1998-06-29,10746599.1,5408627.48,5337971.63,4375.08,0.0,54655733.49,5377846.4,1455294.62,18
1998-06-30,10784851.64,5392552.9,5392298.74,1459.75,656.82,57718929.98,5386951.8,1544094.33,17
1998-07-01,10833907.55,5396609.87,5437297.67,1488.91,0.0,57763184.51,5390264.3,1544094.33,17
1998-07-02,10857791.4,5403151.71,5454639.69,1492.67,0.0,57779777.79,5396062.5,1544094.33,17
1998-07-03,10861616.62,5403893.14,5457723.47,1489.93,0.0,57782113.07,5396062.5,1544094.33,17
1998-07-06,10858795.34,5413569.44,5445225.9,4471.37,0.0,57767368.77,5403514.3,1544094.33,17
1998-07-07,10895894.98,5406859.1,5489035.88,1487.05,0.0,57810433.05,5396062.5,1544094.33,17
1998-07-08,10884351.36,5404290.05,5480061.32,1498.19,0.0,57800703.72,5392750.0,1544094.33,17
1998-07-09,10893603.86,5415798.83,5477805.03,1499.62,0.0,57797692.42,5403514.3,1544094.33,17
1998-07-10,10837482.72,5414888.61,5422594.11,1494.84,0.0,57741729.83,5401860.7,1544094.33,17
1998-07-13,10760159.15,5398891.62,5361267.53,4452.4,0.0,57678175.44,5383639.3,1544094.33,17
1998-07-14,10751612.15,5392183.77,5359428.38,1482.51,0.0,57675597.25,5376187.5,1544094.33,17
