data,kapital,chast1,chast2,protsent,izderzhki,nominal_chast2,nominal_chast1,zalog,rynkov_v_pozicii
1979-01-02,9997331.5,4997763.5,4999568.0,0.0,2668.5,3751947.5,4996939.28,16368770.0,5.0
1979-01-03,10015636.99,5056534.66,4959102.33,2613.19,0.0,3710175.0,5054404.08,16368770.0,5.0
1979-01-04,10059259.87,5106870.06,4952389.81,2590.16,0.0,3702180.0,5103431.8,16368770.0,5.0
1979-01-05,10118072.14,5142894.09,4975178.05,2601.44,0.0,3723687.5,5138135.14,16368770.0,5.0
1979-01-08,10144034.54,5134051.63,5009982.9,7875.23,0.0,3754620.0,5125289.8,16368770.0,5.0
1979-01-09,10190166.05,5163063.05,5027103.0,2637.45,0.0,3770437.5,5152966.36,16368770.0,5.0
1979-01-10,10169050.19,5138627.71,5030422.48,2623.97,0.0,3772462.5,5127201.53,16368770.0,5.0
1979-01-11,10225547.97,5163020.46,5062527.51,2612.88,0.0,3803275.0,5150273.94,16368770.0,5.0
1979-01-12,10294058.56,5205038.53,5089020.02,2635.92,0.0,3828462.5,5190961.1,16368770.0,5.0
1979-01-15,10386370.38,5244392.66,5141977.72,8020.79,0.0,3877455.0,5226259.64,16368770.0,5.0
1979-01-16,10298702.56,5188279.0,5110423.56,2723.54,0.0,3844552.5,5168770.78,16368770.0,5.0
1979-01-17,10298898.72,5187055.1,5111843.62,2700.55,0.0,3844632.5,5166186.4,16368770.0,5.0
1979-01-18,10306521.42,5210629.86,5095891.56,2700.6,0.0,3827340.0,5188401.0,16368770.0,5.0
1979-01-19,10348503.59,5212517.94,5135985.65,2708.32,0.0,3866095.0,5188919.84,16368770.0,5.0
1979-01-22,10353489.95,5221271.11,5132218.84,8106.33,0.0,3858305.0,5193589.87,16368770.0,5.0
1979-01-23,10405011.29,5256903.43,5148107.86,2686.16,0.0,3872862.5,5227867.56,16368770.0,5.0
1979-01-24,10347812.13,5241018.26,5106793.87,2705.3,0.0,3830210.0,5210615.6,16368770.0,5.0
1979-01-25,10415026.6,5292401.38,5122625.22,2687.56,0.0,3844715.0,5260637.51,16368770.0,5.0
1979-01-26,10397684.6,5329019.27,5068665.33,2699.23,0.0,3789427.5,5295883.78,16368770.0,5.0
1979-01-29,10381808.61,5322045.66,5059762.94,8092.86,0.0,3776580.0,5284762.42,16368770.0,5.0
1979-01-30,10430833.75,5306516.68,5124317.08,2696.39,0.0,3839820.0,5267851.18,16368770.0,5.0
1979-01-31,10366814.05,5183407.02,5183407.02,2685.94,22.5,3917473.0,5183173.92,16298645.0,5.0
1979-02-01,10383656.3,5188891.17,5194765.13,2675.21,0.0,3927493.5,5187320.46,16298645.0,5.0
1979-02-02,10432031.59,5175181.2,5256850.4,2668.02,0.0,3988244.0,5172277.23,16298645.0,5.0
1979-02-05,10412050.03,5113482.48,5298567.55,8041.36,0.0,4025909.0,5106589.31,16298645.0,5.0
1979-02-06,10413840.1,5114786.42,5299053.69,2655.07,0.0,4025044.0,5106589.31,16298645.0,5.0
1979-02-07,10459300.35,5069624.99,5389675.36,2664.21,0.0,4114310.0,5060119.35,16298645.0,5.0
1979-02-08,10445205.97,5099264.27,5345941.71,2687.46,0.0,4069191.5,5088456.01,16298645.0,5.0
1979-02-09,10565286.93,5115329.6,5449957.33,2680.94,0.0,4171835.0,5103212.54,16298645.0,5.0
